,id,probability,answers,pred,label,Entry,Protein names,UniProtKB,geneName
620,ENSP00000287820,0.9999926874078463,1.0,1.0,1.0,P37231,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3),P37231,PPARG
621,ENSP00000245414,0.9999926725219357,0.0,1.0,1.0,P10914,Interferon regulatory factor 1 (IRF-1),P10914,IRF1
622,ENSP00000320886,0.9999923548514144,0.0,1.0,1.0,Q9NP71,Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein),Q9NP71,MLXIPL
623,ENSP00000368727,0.9999922880411642,1.0,1.0,1.0,P47989,Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)],P47989,XDH
624,ENSP00000200676,0.9999919731196836,0.0,1.0,1.0,P11597,Cholesteryl ester transfer protein (Lipid transfer protein I),P11597,CETP
625,ENSP00000308208,0.9999919230106664,0.0,1.0,1.0,P50281,Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP),P50281,MMP14
626,ENSP00000216117,0.9999918283833645,0.0,1.0,1.0,P09601,Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form],P09601,HMOX1
627,ENSP00000263645,0.999991591478692,0.0,1.0,1.0,P60033,CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81),P60033,CD81
628,ENSP00000255008,0.9999912572510163,0.0,1.0,1.0,P31391,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R) (SST4),P31391,SSTR4
629,ENSP00000265986,0.9999911939249339,1.0,1.0,1.0,P14735,Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin),P14735,IDE
630,ENSP00000428056,0.9999911265438666,0.0,1.0,1.0,P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha),P27986,PIK3R1
631,ENSP00000370421,0.9999909812108266,0.0,1.0,1.0,P52945,Pancreas/duodenum homeobox protein 1 (PDX-1) (Glucose-sensitive factor) (GSF) (Insulin promoter factor 1) (IPF-1) (Insulin upstream factor 1) (IUF-1) (Islet/duodenum homeobox-1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1),P52945,PDX1
632,ENSP00000009530,0.9999903864944918,0.0,1.0,1.0,P04233,HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)],P04233,CD74
633,ENSP00000346839,0.9999903292066763,0.0,1.0,1.0,P02751,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],P02751,FN1
634,ENSP00000399136,0.9999902138676556,0.0,1.0,1.0,P48065,Sodium- and chloride-dependent betaine transporter (BGT-1) (Na(+)/Cl(-) betaine/GABA transporter) (Solute carrier family 6 member 12),P48065,SLC6A12
635,ENSP00000356505,0.9999902027607664,0.0,1.0,1.0,P19878,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),P19878,NCF2
636,ENSP00000363435,0.9999901902560048,1.0,1.0,1.0,Q14573,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",Q14573,ITPR3
637,ENSP00000473212,0.9999900754066231,0.0,1.0,1.0,O15529,G-protein coupled receptor 42,O15529,GPR42
638,ENSP00000437402,0.9999899114724191,0.0,1.0,1.0,P09104,Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE),P09104,ENO2
639,ENSP00000263317,0.9999898338760053,0.0,1.0,1.0,Q9NPH5,NADPH oxidase 4 (EC 1.6.3.-) (Kidney oxidase-1) (KOX-1) (Kidney superoxide-producing NADPH oxidase) (Renal NAD(P)H-oxidase),Q9NPH5,NOX4
640,ENSP00000260356,0.9999898241047209,0.0,1.0,1.0,P07996,Thrombospondin-1 (Glycoprotein G),P07996,THBS1
641,ENSP00000285930,0.9999896750018546,1.0,1.0,1.0,P15121,Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21),P15121,AKR1B1
642,ENSP00000269228,0.9999896559431638,0.0,1.0,1.0,O15118,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),O15118,NPC1
643,ENSP00000286628,0.9999895954615197,0.0,1.0,1.0,Q12791,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)",Q12791,KCNMA1
644,ENSP00000300659,0.9999892855925643,0.0,1.0,1.0,Q12968,"Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (NFATx) (T-cell transcription factor NFAT4) (NF-AT4) (NF-AT4c)",Q12968,NFATC3
645,ENSP00000181383,0.999989282627693,0.0,1.0,1.0,Q96IY4,Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI),Q96IY4,CPB2
646,ENSP00000392423,0.9999891526039879,0.0,1.0,1.0,P78509,Reelin (EC 3.4.21.-),P78509,RELN
647,ENSP00000483300,0.9999891444532346,0.0,1.0,1.0,Q13085,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),Q13085,ACACA
648,ENSP00000376609,0.9999889948131988,0.0,1.0,1.0,P34947,G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5),P34947,GRK5
649,ENSP00000340409,0.9999888386873383,1.0,1.0,1.0,P17405,"Sphingomyelin phosphodiesterase (EC 3.1.4.12) (EC 3.1.4.3) (Acid sphingomyelinase) (aSMase) [Cleaved into: Sphingomyelin phosphodiesterase, processed form]",P17405,SMPD1
650,ENSP00000295408,0.9999884707187959,0.0,1.0,1.0,Q12866,Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK),Q12866,MERTK
651,ENSP00000357722,0.9999884327653736,0.0,1.0,1.0,P05109,Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A),P05109,S100A8
652,ENSP00000289547,0.9999879018968624,1.0,1.0,1.0,Q9UHC9,NPC1-like intracellular cholesterol transporter 1 (NPC1L1) (Niemann-Pick C1-like protein 1),Q9UHC9,NPC1L1
653,ENSP00000265641,0.9999877950288387,0.0,1.0,1.0,P50416,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",P50416,CPT1A
654,ENSP00000245907,0.9999875264630923,1.0,1.0,1.0,P01024,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],P01024,C3
655,ENSP00000264498,0.9999874687675374,1.0,1.0,1.0,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),P09038,FGF2
656,ENSP00000370744,0.999987132549408,1.0,1.0,1.0,Q14571,"Inositol 1,4,5-trisphosphate receptor type 2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)",Q14571,ITPR2
657,ENSP00000303830,0.9999864602187821,1.0,1.0,1.0,P06213,Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta],P06213,INSR
658,ENSP00000305422,0.9999863581570007,0.0,1.0,1.0,P17676,CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5),P17676,CEBPB
659,ENSP00000369071,0.9999861131271175,0.0,1.0,1.0,Q15063,Periostin (PN) (Osteoblast-specific factor 2) (OSF-2),Q15063,POSTN
660,ENSP00000380958,0.9999857652791403,0.0,1.0,1.0,P02686,Myelin basic protein (MBP) (Myelin A1 protein) (Myelin membrane encephalitogenic protein),P02686,MBP
661,ENSP00000263798,0.9999855265214357,0.0,1.0,1.0,Q06418,Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF),Q06418,TYRO3
662,ENSP00000264664,0.9999854549856279,0.0,1.0,1.0,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),O15520,FGF10
663,ENSP00000366797,0.9999852603109031,1.0,1.0,1.0,Q96S37,Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1) (URAT1) (Urate:anion antiporter SLC22A12),Q96S37,SLC22A12
664,ENSP00000326366,0.9999852143732383,1.0,1.0,1.0,P49768,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],P49768,PSEN1
665,ENSP00000239223,0.9999850165144741,0.0,1.0,1.0,P28562,Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100),P28562,DUSP1
666,ENSP00000053243,0.9999850106527265,1.0,1.0,1.0,Q02223,Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269),Q02223,TNFRSF17
667,ENSP00000003084,0.9999844923550075,1.0,1.0,1.0,P13569,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),P13569,CFTR
668,ENSP00000310149,0.9999832494452744,0.0,1.0,1.0,Q8TAV3,Cytochrome P450 2W1 (EC 1.14.14.-) (CYPIIW1),Q8TAV3,CYP2W1
669,ENSP00000357981,0.9999824498346428,0.0,1.0,1.0,P25774,Cathepsin S (EC 3.4.22.27),P25774,CTSS
670,ENSP00000325120,0.9999817449217298,1.0,1.0,1.0,P06401,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),P06401,PGR
671,ENSP00000256078,0.9999811949010886,1.0,1.0,1.0,P01116,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",P01116,KRAS
672,ENSP00000375608,0.999980948097796,0.0,1.0,1.0,P43629,Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e),P43629,KIR3DL1
673,ENSP00000162749,0.9999807412353129,0.0,1.0,1.0,P19438,"Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]",P19438,TNFRSF1A
674,ENSP00000296677,0.9999805901658276,0.0,1.0,1.0,P55085,"Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2]",P55085,F2RL1
675,ENSP00000357712,0.9999802325052352,0.0,1.0,1.0,P31151,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),P31151,S100A7
676,ENSP00000311290,0.9999801951196711,0.0,1.0,1.0,O75360,Homeobox protein prophet of Pit-1 (PROP-1) (Pituitary-specific homeodomain factor),O75360,PROP1
677,ENSP00000323740,0.9999800001550017,0.0,1.0,1.0,P55916,Mitochondrial uncoupling protein 3 (UCP 3) (Solute carrier family 25 member 9),P55916,UCP3
678,ENSP00000444810,0.9999798984743817,0.0,1.0,1.0,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase),Q13451,FKBP5
679,ENSP00000226574,0.9999782062711965,1.0,1.0,1.0,P19838,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],P19838,NFKB1
680,ENSP00000264005,0.9999779205270974,0.0,1.0,1.0,P04180,Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase),P04180,LCAT
681,ENSP00000268125,0.9999778779486016,0.0,1.0,1.0,P12271,Retinaldehyde-binding protein 1 (Cellular retinaldehyde-binding protein),P12271,RLBP1
682,ENSP00000304592,0.9999778129343301,1.0,1.0,1.0,P49327,Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],P49327,FASN
683,ENSP00000384517,0.9999771376605463,0.0,1.0,1.0,O00327,Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3),O00327,ARNTL
684,ENSP00000220003,0.9999764417542965,0.0,1.0,1.0,P41240,Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL),P41240,CSK
685,ENSP00000322706,0.9999754946232718,0.0,1.0,1.0,Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Q01581,HMGCS1
686,ENSP00000480791,0.9999753288765352,0.0,1.0,1.0,P05230,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1),P05230,FGF1
687,ENSP00000437955,0.9999744759240095,0.0,1.0,1.0,Q16665,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),Q16665,HIF1A
688,ENSP00000316786,0.9999741770114992,0.0,1.0,1.0,P80365,11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 3),P80365,HSD11B2
689,ENSP00000241261,0.9999736147675421,0.0,1.0,1.0,P50591,Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253),P50591,TNFSF10
690,ENSP00000399421,0.9999729541748367,0.0,1.0,1.0,P16671,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),P16671,CD36
691,ENSP00000385757,0.9999726628954074,1.0,1.0,1.0,P53004,Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase),P53004,BLVRA
692,ENSP00000309968,0.9999725782534973,0.0,1.0,1.0,P78536,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),P78536,ADAM17
693,ENSP00000265362,0.9999724538282364,0.0,1.0,1.0,Q14563,Semaphorin-3A (Semaphorin III) (Sema III),Q14563,SEMA3A
694,ENSP00000345672,0.9999724131780703,0.0,1.0,1.0,P07858,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],P07858,CTSB
695,ENSP00000344352,0.9999717331988445,0.0,1.0,1.0,P18847,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),P18847,ATF3
696,ENSP00000282561,0.9999708114899744,0.0,1.0,1.0,P17302,Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein),P17302,GJA1
697,ENSP00000274793,0.9999705077961368,0.0,1.0,1.0,Q13093,Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase),Q13093,PLA2G7
698,ENSP00000353099,0.9999697999794356,0.0,1.0,1.0,P01911,"HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)",P01911,HLA-DRB1
699,ENSP00000386165,0.9999695665119905,0.0,1.0,1.0,P49716,CCAAT/enhancer-binding protein delta (C/EBP delta) (Nuclear factor NF-IL6-beta) (NF-IL6-beta),P49716,CEBPD
700,ENSP00000399168,0.9999690939985105,0.0,1.0,1.0,P01889,"HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)",P01889,HLA-B
701,ENSP00000275493,0.9999688880820723,1.0,1.0,1.0,P00533,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),P00533,EGFR
702,ENSP00000380948,0.9999681546958222,0.0,1.0,1.0,P05107,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",P05107,ITGB2
703,ENSP00000359380,0.9999669391434349,0.0,1.0,1.0,O00767,Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase),O00767,SCD
704,ENSP00000395389,0.9999644182013261,0.0,1.0,1.0,Q9UBY5,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),Q9UBY5,LPAR3
705,ENSP00000269571,0.9999642472964851,1.0,1.0,1.0,P04626,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),P04626,ERBB2
706,ENSP00000266085,0.9999639691589579,0.0,1.0,1.0,P35625,Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3),P35625,TIMP3
707,ENSP00000248071,0.9999633441599323,0.0,1.0,1.0,Q9Y5W3,Krueppel-like factor 2 (Lung krueppel-like factor),Q9Y5W3,KLF2
708,ENSP00000337701,0.9999630516611642,0.0,1.0,1.0,Q96AD5,Patatin-like phospholipase domain-containing protein 2 (EC 3.1.1.3) (Adipose triglyceride lipase) (Calcium-independent phospholipase A2-zeta) (iPLA2-zeta) (EC 3.1.1.4) (Desnutrin) (Pigment epithelium-derived factor receptor) (PEDF-R) (TTS2.2) (Transport-secretion protein 2) (TTS2),Q96AD5,PNPLA2
709,ENSP00000416066,0.9999630403895521,1.0,1.0,1.0,P01009,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],P01009,SERPINA1
710,ENSP00000294016,0.9999618988311726,0.0,1.0,1.0,O60503,Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9),O60503,ADCY9
711,ENSP00000451828,0.9999615493865357,1.0,1.0,1.0,P31749,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),P31749,AKT1
712,ENSP00000231061,0.9999611979352916,0.0,1.0,1.0,P09486,SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine),P09486,SPARC
713,ENSP00000358223,0.9999610952734864,1.0,1.0,1.0,P16233,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),P16233,PNLIP
714,ENSP00000311538,0.9999600714310206,0.0,1.0,1.0,P36575,Arrestin-C (Cone arrestin) (C-arrestin) (cArr) (Retinal cone arrestin-3) (X-arrestin),P36575,ARR3
715,ENSP00000403701,0.9999592655749159,0.0,1.0,1.0,P32121,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),P32121,ARRB2
716,ENSP00000220478,0.9999591709959746,0.0,1.0,1.0,Q8WXD2,Secretogranin-3 (Secretogranin III) (SgIII),Q8WXD2,SCG3
717,ENSP00000356832,0.999959124380236,0.0,1.0,1.0,O00141,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),O00141,SGK1
718,ENSP00000257068,0.9999588460264254,1.0,1.0,1.0,P49286,Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor),P49286,MTNR1B
719,ENSP00000379191,0.9999587987125336,0.0,1.0,1.0,P13987,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),P13987,CD59
720,ENSP00000254657,0.9999582780241946,0.0,1.0,1.0,O15055,Period circadian protein homolog 2 (hPER2) (Circadian clock protein PERIOD 2),O15055,PER2
721,ENSP00000221130,0.9999575554041936,0.0,1.0,1.0,P00390,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",P00390,GSR
722,ENSP00000333142,0.9999556515733349,0.0,1.0,1.0,O60733,85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9),O60733,PLA2G6
723,ENSP00000339186,0.999955001777179,0.0,1.0,1.0,O75791,GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona),O75791,GRAP2
724,ENSP00000233826,0.9999549676550565,0.0,1.0,1.0,O60928,"Inward rectifier potassium channel 13 (Inward rectifier K(+) channel Kir7.1) (Potassium channel, inwardly rectifying subfamily J member 13)",O60928,KCNJ13
725,ENSP00000378217,0.9999539148309875,0.0,1.0,1.0,Q05655,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],Q05655,PRKCD
726,ENSP00000284818,0.9999528596086655,0.0,1.0,1.0,Q9Y6Y9,Lymphocyte antigen 96 (Ly-96) (ESOP-1) (Protein MD-2),Q9Y6Y9,LY96
727,ENSP00000382334,0.9999526231967335,0.0,1.0,1.0,Q15238,Pregnancy-specific beta-1-glycoprotein 5 (PS-beta-G-5) (PSBG-5) (Pregnancy-specific glycoprotein 5) (Fetal liver non-specific cross-reactive antigen 3) (FL-NCA-3),Q15238,PSG5
728,ENSP00000457593,0.9999520618308632,0.0,1.0,1.0,O94916,Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP),O94916,NFAT5
